,Descripcion,Nombre silla,Precio
0,Silla Naiquen gris claro,Naiquen,70.95
1,Silla Nadya gris oscuro,Nadya,120.7
2,Silla Oyaka chapa de nogal y acero con detalle cobre,Oyaka,74.75
3,Silla Runnie gris oscuro con patas de acero acabado pintado negro,Runnie,126.65
4,Silla Lumina gris oscuro patas acero acabado dorado,Lumina,109.65
5,Silla Runnie de chenilla beige con patas de acero con acabado dorado,Runnie,199.0
6,Silla Alve gris claro,Alve,89.6
7,Silla Suanne de pana gruesa verde oscuro con patas de acero acabado pintado negro,Suanne,122.0
8,Silla Mael gris oscuro y patas de acero con acabado negro,Mael,135.0
9,Silla Adam gris oscuro,Adam,107.95
10,Silla Ciselia de borrego blanco y metal negro,Ciselia,149.0
11,Silla Konna de chenilla beige con patas de acero con acabado pintado negro,Konna,155.0
12,Silla Yvette terciopelo gris,Yvette,188.7
13,Silla Aniela de borrego blanco y metal con acabado negro,Aniela,149.0
14,Silla Konna de pana gruesa verde oscuro con patas de acero acabado pintado negro,Konna,155.0
15,Silla Runnie de chenilla gris oscuro con patas de acero con acabado dorado,Runnie,199.0
16,Silla Suanne de pana gruesa gris con patas de acero acabado pintado negro,Suanne,122.0
17,Silla Konna beige patas de madera maciza de fresno,Konna,175.0
18,Silla de escritorio Einara rosa,Einara,124.0
19,Silla Aniela de borrego negro y metal con acabado negro,Aniela,149.0
20,Silla Suanne gris oscuro con patas de acero acabado pintado negro,Suanne,119.0
21,Silla Runnie gris claro con patas de acero acabado pintado negro,Runnie,149.0
22,Silla Milian chapa de fresno y acero con detalle dorado,Milian,87.2
23,Silla Madge gris claro y acero con acabado negro,Madge,128.25
24,Silla Konna gris oscuro patas de madera maciza de fresno,Konna,175.0
25,Silla Amira de chenilla verde oscuro y patas de metal con acabado negro,Amira,169.0
26,Silla Naiquen gris oscuro,Naiquen,83.85
27,Silla Maureen de chapa de roble acabado natural y metal con acabado negro,Maureen,149.0
28,"Silla Benilda gris oscuro, chapa de roble y acero con acabado negro",Benilda,108.0
29,Silla Alve gris oscuro,Alve,89.6
30,Silla Konna de chenilla mostaza con patas de acero con acabado pintado negro,Konna,155.0
31,Silla Aniela de borrego gris claro y metal con acabado negro,Aniela,149.0
32,Silla Lumina terciopelo gris claro patas acero acabado negro,Lumina,109.8
33,Silla Ciselia de borrego gris claro y metal negro,Ciselia,149.0
34,Silla Amira de chenilla mostaza y patas de metal con acabado negro,Amira,169.0
35,Silla Konna de borrego blanco y patas de madera maciza de fresno,Konna,199.0
36,Silla de escritorio Melva negro,Melva,87.5
37,Silla Runnie de pelo blanco con patas de acero con acabado en cobre,Runnie,185.0
38,Silla Konna de chenilla gris oscuro con patas de acero con acabado pintado negro,Konna,155.0
39,Silla de escritorio Einara gris oscuro,Einara,124.0
40,Silla Madge gris oscuro y acero con acabado negro,Madge,128.25
41,Silla Runnie de chenilla verde oscuro con patas de acero con acabado dorado,Runnie,199.0
42,Silla Yaren terciopelo verde,Yaren,59.99
43,"Silla Benilda beige, chapa de roble y acero con acabado negro",Benilda,108.0
44,Silla Konna de borrego negro y patas de madera maciza de fresno,Konna,199.0
45,Silla Lumina terciopelo verde oscuro patas acero acabado dorado,Lumina,116.1
46,Silla Ivonne terciopelo azul,Ivonne,84.99
47,Silla Yaren terciopelo azul,Yaren,59.99
